eps_deg,min_samples,num_clusters,noise_cells,noise_percent,avg_cluster_area_km2
0.05,2,0,29,100.0,0.0
0.05,3,0,29,100.0,0.0
0.05,4,0,29,100.0,0.0
0.05,5,0,29,100.0,0.0
0.05,8,0,29,100.0,0.0
0.05,10,0,29,100.0,0.0
0.1,2,0,29,100.0,0.0
0.1,3,0,29,100.0,0.0
0.1,4,0,29,100.0,0.0
0.1,5,0,29,100.0,0.0
0.1,8,0,29,100.0,0.0
0.1,10,0,29,100.0,0.0
0.15,2,5,15,51.72,384.19
0.15,3,2,21,72.41,240.48
0.15,4,1,25,86.21,240.48
0.15,5,0,29,100.0,0.0
0.15,8,0,29,100.0,0.0
0.15,10,0,29,100.0,0.0
0.2,2,2,11,37.93,1202.4
0.2,3,2,11,37.93,1202.4
0.2,4,1,15,51.72,2164.32
0.2,5,2,18,62.07,541.08
0.2,8,0,29,100.0,0.0
0.2,10,0,29,100.0,0.0
0.25,2,2,7,24.14,1923.84
0.25,3,2,7,24.14,1923.84
0.25,4,2,7,24.14,1923.84
0.25,5,1,14,48.28,2284.56
0.25,8,1,18,62.07,1322.64
0.25,10,0,29,100.0,0.0
